experiment,Estimate,StdErr,t,p,N,p_holm,sig_holm
Confidence Judgments,-0.09754789243175896,0.05985549488581598,-1.629723262966037,0.10319381396571685,9316,0.2063876279314337,False
Emotion Labeling,0.05698448168411629,0.04131633880611916,1.3792238937608043,0.16786866111174778,7187,0.2063876279314337,False
